	store	address	phone	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호	행정동코드	행정동명	법정동코드	법정동명
10	영동점	서울 서초구 반포동 736-17 P빌딩 2층  	02-3443-2096	서울 서초구 반포동 736-17 P빌딩 2층  	127.022869	37.5068811	정좌표	1.16501E+18	구주소	서울특별시 서초구 강남대로 503	서울특별시 서초구 반포동 736-17	6536	1165056000	반포1동	1165010700	반포동
11	도곡점	" 서울시 강남구 언주로 30길 10,112 현대비젼21 112호   "	02-572-2781	"서울시 강남구 언주로 30길 10,112 현대비젼21 112호   "	127.0512914	37.4872987	정좌표	1.16801E+18	새주소	서울특별시 강남구 언주로30길 10	서울특별시 강남구 도곡동 467-19	6295	1168065600	도곡2동	1168011800	도곡동
12	영동고앞점	" 서울시 강남구 선릉로 749 1,2층   "	02-544-3794	"서울시 강남구 선릉로 749 1,2층   "	127.0394785	37.5214521	정좌표	1.16801E+18	새주소	서울특별시 강남구 선릉로 749	서울특별시 강남구 논현동 101-24	6056	1168053100	논현2동	1168010800	논현동
13	압구정시티점	" 서울시 강남구 도산대로49길 13 1층 17,18호   "	02-543-5922	"서울시 강남구 도산대로49길 13 1층 17,18호   "	127.0369944	37.5237206	정좌표	1.16801E+18	새주소	서울특별시 강남구 도산대로49길 13	서울특별시 강남구 신사동 648-12	6020	1168054500	압구정동	1168010700	신사동
14	압구정로데오점	서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  	02-3445-5093	서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  	127.0390227	37.5261159	정좌표	1.16801E+18	새주소	서울특별시 강남구 선릉로157길 12	서울특별시 강남구 신사동 663-24	6018	1168054500	압구정동	1168010700	신사동
15	서초우성점	서울시 서초구 강남대로 51길 1 511 TOWER  1층  	02-582-0158	서울시 서초구 강남대로 51길 1 511 TOWER  1층  	127.0302755	37.4912909	정좌표	1.16501E+18	새주소	서울특별시 서초구 강남대로51길 1	서울특별시 서초구 서초동 1338-11	6628	1165052000	서초2동	1165010800	서초동
16	논현팍스타워점	서울시 강남구 논현 231-13호 팍스타워지하1층  	02-513-3870	서울시 강남구 논현 231-13호 팍스타워지하1층  	127.0473819	37.5173353	시군구 좌표	11680	판별불가		서울특별시 강남구	NULL				
17	삼성오크우드점	서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  	02-3466-8507	서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  	127.0593412	37.5117365	정좌표	1.16801E+18	새주소	서울특별시 강남구 영동대로 513	서울특별시 강남구 삼성동 159	6164	1168058000	삼성1동	1168010500	삼성동
18	트레이드타워점	서울시 강남구 영동대로 511 트레이드타워 지하1층  	02-6002-6470	서울시 강남구 영동대로 511 트레이드타워 지하1층  	127.060954	37.5103077	정좌표	1.16801E+18	새주소	서울특별시 강남구 영동대로 511	서울특별시 강남구 삼성동 159-1	6164	1168058000	삼성1동	1168010500	삼성동
19	삼성봉은사거리점	" 서울시 강남구 영동대로 607 1,2층   "	02-3443-5618	"서울시 강남구 영동대로 607 1,2층   "	127.0594869	37.5145489	정좌표	1.16801E+18	새주소	서울특별시 강남구 영동대로 607	서울특별시 강남구 삼성동 77-11	6087	1168058000	삼성1동	1168010500	삼성동
20	반포엘루체점	서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  	02-3477-5571	서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  	126.9872199	37.5017332	정좌표	1.16501E+18	새주소	서울특별시 서초구 신반포로 23	서울특별시 서초구 반포동 1141	6502	1165055000	반포본동	1165010700	반포동
21	잠실신천점	서울시 송파구 석촌호수로 118 1층  	02-416-9520	서울시 송파구 석촌호수로 118 1층  	127.0900133	37.5074265	정좌표	1.17101E+18	새주소	서울특별시 송파구 석촌호수로 118	서울특별시 송파구 잠실동 242-9	5566	1171065000	잠실본동	1171010100	잠실동
22	서초지파이브점	" 서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호   "	02-3477-5580	"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호   "	127.0164141	37.4954113	정좌표	1.16501E+18	구주소	서울특별시 서초구 서초중앙로24길 27	서울특별시 서초구 서초동 1685-8	6601	1165053100	서초4동	1165010800	서초동
23	논현동수면센터점	서울시 강남구 논현로 717 1층  	02-3443-5575	서울시 강남구 논현로 717 1층  	127.0295491	37.5159647	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로 717	서울특별시 강남구 논현동 34-21	6041	1168052100	논현1동	1168010800	논현동
24	삼성전자강남사옥점	서울시 서초구 서초대로74길 11 지하2층  	02-2055-1142	서울시 서초구 서초대로74길 11 지하2층  	127.0269155	37.4966335	정좌표	1.16501E+18	새주소	서울특별시 서초구 서초대로74길 11	서울특별시 서초구 서초동 1320-10	6620	1165052000	서초2동	1165010800	서초동
25	삼성생명강남사옥점	서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  	02-581-5562	서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  	127.0257153	37.4967408	정좌표	1.16501E+18	새주소	서울특별시 서초구 서초대로74길 4	서울특별시 서초구 서초동 1321-15	6620	1165052000	서초2동	1165010800	서초동
26	방배카페골목점	서울특별시 서초구 방배중앙로 187  	02-592-7794	서울특별시 서초구 방배중앙로 187  	126.9855483	37.4957179	정좌표	1.16501E+18	새주소	서울특별시 서초구 방배중앙로 187	서울특별시 서초구 방배동 761-6	6554	1165059000	방배본동	1165010100	방배동
27	역삼포스틸타워뒷점	서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  	02-554-9962	서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  	127.0341555	37.4990898	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로20길 10	서울특별시 강남구 역삼동 735-32	6235	1168064000	역삼1동	1168010100	역삼동
28	테헤란로하이닉스뒷점	서울시 강남구 테헤란로 70길 12 1층  	02-538-9927	서울시 강남구 테헤란로 70길 12 1층  	127.0531741	37.5047672	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로70길 12	서울특별시 강남구 대치동 890-60	6193	1168063000	대치4동	1168010600	대치동
29	삼성봉은사로점	서울시 강남구 봉은사로 628 엘슨빌딩1층  	02-538-4523	서울시 강남구 봉은사로 628 엘슨빌딩1층  	127.0641797	37.5146763	정좌표	1.16801E+18	새주소	서울특별시 강남구 봉은사로 628	서울특별시 강남구 삼성동 162-2	6170	1168058000	삼성1동	1168010500	삼성동
30	방이점	서울시 송파구 오금로 11길 7  	02-415-5561	서울시 송파구 오금로 11길 7  	127.1079802	37.5145647	정좌표	1.17101E+18	새주소	서울특별시 송파구 오금로11길 7	서울특별시 송파구 방이동 24-3	5542	1171056200	방이2동	1171011100	방이동
31	매봉역점	서울시 강남구 논현로 38길 42 418호  	02-529-9947	서울시 강남구 논현로 38길 42 418호  	127.0450716	37.4855726	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로38길 42	서울특별시 강남구 도곡동 418	6296	1168065600	도곡2동	1168011800	도곡동
32	남부터미널역점	서울시 서초구 서초중앙로 43 로얄타워1층  	02-523-3671	서울시 서초구 서초중앙로 43 로얄타워1층  	127.0155824	37.4855468	정좌표	1.16501E+18	새주소	서울특별시 서초구 서초중앙로 43	서울특별시 서초구 서초동 1602-5	6654	1165053000	서초3동	1165010800	서초동
33	강남역랭기지타워점	서울시 강남구 테헤란로4길 28 826-28호 1층  	02-563-3655	서울시 강남구 테헤란로4길 28 826-28호 1층  	127.0300722	37.4965153	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로4길 28	서울특별시 강남구 역삼동 826-28	6241	1168064000	역삼1동	1168010100	역삼동
34	도심공항타워점	서울시 강남구 테헤란로87길 36 공항타워 1층  	02-2016-5330	서울시 강남구 테헤란로87길 36 공항타워 1층  	127.0583649	37.510215	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로87길 36	서울특별시 강남구 삼성동 159	6164	1168058000	삼성1동	1168010500	삼성동
35	청담카페점	" 서울시 강남구 도산대로 67길 7,파크빌딩 1층   "	02-514-5622	"서울시 강남구 도산대로 67길 7,파크빌딩 1층   "	127.0443834	37.5244924	정좌표	1.16801E+18	새주소	서울특별시 강남구 도산대로67길 7	서울특별시 강남구 청담동 92-12	6016	1168056500	청담동	1168010400	청담동
36	광화문점	서울 종로구 서린동 136 센트리얼빌딩 1층  	02-3210-2326	서울 종로구 서린동 136 센트리얼빌딩 1층  	126.9788613	37.569825	정좌표	1.11101E+18	구주소	서울특별시 종로구 종로 14	서울특별시 종로구 서린동 136	3187	1111061500	종로1.2.3.4가동	1111012300	서린동
37	경희궁의아침점	서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  	02-730-8896	서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  	126.9722018	37.5725424	정좌표	1.11101E+18	새주소	서울특별시 종로구 새문안로3길 23	서울특별시 종로구 내수동 73	3174	1111053000	사직동	1111011800	내수동
38	홍대역점	서울시 마포구 홍익로 6길 26  	02-333-4278	서울시 마포구 홍익로 6길 26  	126.9232717	37.5554732	정좌표	1.14401E+18	새주소	서울특별시 마포구 홍익로6길 26	서울특별시 마포구 동교동 163-12	4050	1144066000	서교동	1144012100	동교동
39	순화점	서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  	02-2220-8198	서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  	126.9974735	37.5637584	시군구 좌표	11140	판별불가		서울특별시 중구	NULL				
40	종로관철동점	" 서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층   "	02-738-5333	"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층   "	126.9867357	37.5684782	정좌표	1.11101E+18	새주소	서울특별시 종로구 청계천로 83	서울특별시 종로구 관철동 11-4	3190	1111061500	종로1.2.3.4가동	1111013500	관철동
41	소공동삼화빌딩점	서울 중구 남대문로7길 16 한컴빌딩 1층  	02-753-8004	서울 중구 남대문로7길 16 한컴빌딩 1층  	126.9810566	37.5640683	정좌표	1.11401E+18	새주소	서울특별시 중구 남대문로7길 16	서울특별시 중구 소공동 21-1	4533	1114052000	소공동	1114011100	소공동
42	강변테크노마트점	서울시 광진구 광나루로56길 85 테크노마트9층35호  	02-3424-5480	서울시 광진구 광나루로56길 85 테크노마트9층35호  	127.0957117	37.5357272	정좌표	1.12151E+18	새주소	서울특별시 광진구 광나루로56길 85	서울특별시 광진구 구의동 546-4	5116	1121587000	구의3동	1121510300	구의동
43	외대앞점	서울시 동대문구 이문로 106 1~3층  	02-959-7750	서울시 동대문구 이문로 106 1~3층  	127.0602283	37.5960723	정좌표	1.12301E+18	새주소	서울특별시 동대문구 이문로 106	서울특별시 동대문구 이문동 288-94	2440	1123074000	이문1동	1123011000	이문동
44	고대안암역점	서울시 성북구 개운사길8 101-3 1층  	02-953-6652	서울시 성북구 개운사길8 101-3 1층  	127.0295824	37.5867148	정좌표	1.12901E+18	새주소	서울특별시 성북구 개운사길 8	서울특별시 성북구 안암동5가 101-3	2842	1129060000	안암동	1129012500	안암동5가
45	순화동라마다호텔점	서울시 중구 칠패로 27 151호  	02-3789-3347	서울시 중구 칠패로 27 151호  	126.9720689	37.5599718	정좌표	1.11402E+18	새주소	서울특별시 중구 칠패로 27	서울특별시 중구 순화동 151	4511	1114052000	소공동	1114016800	순화동
46	세종문화회관옆점	서울 종로구 새문안로 9길 25 1층  	02-720-5561	서울 종로구 새문안로 9길 25 1층  	126.9754782	37.5713635	정좌표	1.11101E+18	새주소	서울특별시 종로구 새문안로9길 25	서울특별시 종로구 당주동 20-1	3183	1111053000	사직동	1111011700	당주동
47	신촌점	서울시 서대문구 창천 18-26호 B1  	02-363-5572	서울시 서대문구 창천 18-26호 B1  	126.9367873	37.5792117	시군구 좌표	11410	판별불가		서울특별시 서대문구	NULL				
48	건대스타시티점	서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  	02-444-9861	서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  	127.0710892	37.5385546	정좌표	1.12151E+18	구주소	서울특별시 광진구 능동로 90	서울특별시 광진구 자양동 227-342	5065	1121584000	자양3동	1121510500	자양동
49	하나은행경복궁역점	" 서울시 종로구 사직로 130,1 현대적선빌딩1층   "	02-733-5108	"서울시 종로구 사직로 130,1 현대적선빌딩1층   "	126.9733288	37.5753815	정좌표	1.11101E+18	새주소	서울특별시 종로구 사직로 130	서울특별시 종로구 적선동 80	3170	1111053000	사직동	1111010700	적선동
50	중계동은행사거리점	서울시 노원구 한글비석로 263 1층  	02-931-3055	서울시 노원구 한글비석로 263 1층  	127.0764872	37.6512178	정좌표	1.13501E+18	새주소	서울특별시 노원구 한글비석로 263	서울특별시 노원구 중계동 359-11	1714	1135062100	중계1동	1135010600	중계동
51	서울스퀘어점	서울시 중구 한강대로 416 지하1층  	02-6456-8907	서울시 중구 한강대로 416 지하1층  	126.9737713	37.5555084	정좌표	1.11401E+18	새주소	서울특별시 중구 한강대로 416	서울특별시 중구 남대문로5가 541	4637	1114054000	회현동	1114011800	남대문로5가
52	목동점	서울시 양천구 목동동로 293 현대41타워1층  	02-2654-5981	서울시 양천구 목동동로 293 현대41타워1층  	126.8757846	37.5281888	정좌표	1.14701E+18	새주소	서울특별시 양천구 목동동로 293	서울특별시 양천구 목동 917-9	7997	1147051000	목1동	1147010200	목동
53	여의도34번지점	서울 영등포구 국제금융로 52 심팩빌딩 1층  	02-783-2043	서울 영등포구 국제금융로 52 심팩빌딩 1층  	126.9295119	37.5227322	정좌표	1.15601E+18	새주소	서울특별시 영등포구 국제금융로 52	서울특별시 영등포구 여의도동 34-1	7330	1156054000	여의동	1156011000	여의도동
54	여의도교보증권점	서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  	02-783-6058	서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  	126.924594	37.5225163	정좌표	1.15601E+18	새주소	서울특별시 영등포구 의사당대로 97	서울특별시 영등포구 여의도동 26-4	7327	1156054000	여의동	1156011000	여의도동
55	시흥홈플러스점	서울시 금천구 시흥대로 201 1층  	02-803-9994	서울시 금천구 시흥대로 201 1층  	126.9007973	37.4519168	정좌표	1.15451E+18	새주소	서울특별시 금천구 시흥대로 201	서울특별시 금천구 시흥동 992-47	8632	1154567000	시흥1동	1154510300	시흥동
56	여의도순복음교회옆점	서울시 영등포구 여의서로 43 한서리버파크2층  	02-780-7758	서울시 영등포구 여의서로 43 한서리버파크2층  	126.9248494	37.5307271	정좌표	1.15601E+18	새주소	서울특별시 영등포구 여의서로 43	서울특별시 영등포구 여의도동 11-11	7239	1156054000	여의동	1156011000	여의도동
57	부산광복동점	부산광역시 중구 창선동 2가 8-2  	051-243-9105	부산광역시 중구 창선동 2가 8-2  	129.0289657	35.099438	정좌표	2.61101E+18	구주소	부산광역시 중구 광복로 35	부산광역시 중구 창선동2가 8-2	48946	2611057000	광복동	2611013200	창선동2가
58	인천구월동점	" 인천광역시 남동구 예술로 138 지상1,2층   "	032-421-3418	"인천광역시 남동구 예술로 138 지상1,2층   "	126.7010195	37.4462045	정좌표	2.82001E+18	새주소	인천광역시 남동구 예술로 138	인천광역시 남동구 구월동 1456	21573	2820052100	구월3동	2820010100	구월동
59	대전탄방동점	대전시 서구 문정로76 1층  	042-471-9805	대전시 서구 문정로76 1층  	127.3877036	36.3464287	정좌표	3.01701E+18	새주소	대전광역시 서구 문정로 76	대전광역시 서구 탄방동 747	35263	3017055500	탄방동	3017010600	탄방동
60	일산웨스턴돔1호점	경기도 고양시 일산동구 정발산로 24 I동103~203호  	031-931-5573	경기도 고양시 일산동구 정발산로 24 I동103~203호  	126.7724198	37.6552661	정좌표	4.12851E+18	새주소	경기도 고양시 일산동구 정발산로 24	경기도 고양시 일산동구 장항동 868	10403	4128559000	장항2동	4128510400	장항동
61	분당서현점	" 경기도 성남시 분당구 분당로53번길 11 1층2,3호   "	031-705-8926	"경기도 성남시 분당구 분당로53번길 11 1층2,3호   "	127.1215661	37.3840483	정좌표	4.11351E+18	새주소	경기도 성남시 분당구 분당로53번길 11	경기도 성남시 분당구 서현동 269-5	13591	4113558000	서현1동	4113510500	서현동
62	분당플라자점	경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  	031-705-3188	경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  	127.1219609	37.3850515	정좌표	4.11351E+18	새주소	경기도 성남시 분당구 황새울로 326	경기도 성남시 분당구 서현동 270-1	13591	4113558000	서현1동	4113510500	서현동
63	분당차병원점	" 경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)   "	031-781-0471	"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)   "	127.1263805	37.410954	정좌표	4.11351E+18	새주소	경기도 성남시 분당구 야탑로65번길 16	경기도 성남시 분당구 야탑동 354-1	13497	4113562000	야탑1동	4113510700	야탑동
64	분당수내점	경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  	031-713-9937	경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  	127.1123197	37.3781403	정좌표	4.11351E+18	새주소	경기도 성남시 분당구 황새울로214번길 8	경기도 성남시 분당구 수내동 21-1	13595	4113552000	수내1동	4113510200	수내동
65	동탄라마다호텔점	경기도 화성시 노작로 199 동탄라마다호텔107호~111호  	031-8003-8374	경기도 화성시 노작로 199 동탄라마다호텔107호~111호  	127.0747096	37.2058441	정좌표	4.15901E+18	새주소	경기도 화성시 노작로 199	경기도 화성시 반송동 90-3	18453	4159058500	동탄1동	4159012700	반송동
66	창원상남동점	경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  	055-211-0737	경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  	128.6807941	35.223449	정좌표	4.81231E+18	새주소	경상남도 창원시 성산구 중앙대로 104	경상남도 창원시 성산구 상남동 78-3	51494	4812352000	중앙동	4812312700	상남동
67	청주지웰시티점	" 충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호   "	043-238-3151	"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호   "	127.4248917	36.643765	(무료버전 위치정밀도 제한)정좌표	43113	새주소	충청북도 청주시 흥덕구 대농로 17	충청북도 청주시 흥덕구 복대동 3379	28424	4311374100	복대1동	4311311400	복대동
68	무교CBTL점	서울 중구 세종대로 136 파이낸스빌딩 지하2층  	070-4140-7003	서울 중구 세종대로 136 파이낸스빌딩 지하2층  	126.9782692	37.5684233	정좌표	1.11401E+18	새주소	서울특별시 중구 세종대로 136	서울특별시 중구 무교동 97	4520	1114055000	명동	1114010100	무교동
69	국기원사거리점	서울시 강남구 테헤란로 8길 42 1층  	02-552-7106 	서울시 강남구 테헤란로 8길 42 1층  	127.0320684	37.4960632	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로8길 42	서울특별시 강남구 역삼동 827-65	6240	1168064000	역삼1동	1168010100	역삼동
70	무교점	" 서울시 중구 태평로1 84호 SFC빌딩B1,1-4   "	02-753-2374	"서울시 중구 태평로1 84호 SFC빌딩B1,1-4   "	126.9974735	37.5637584	(도로명 없음)시구군 좌표	11140	구주소		서울특별시 중구 1	NULL				
71	남대문점	서울시 중구 후암로110 581호 서울시티타워1층  	02-777-4217	서울시 중구 후암로110 581호 서울시티타워1층  	126.9741045	37.554322	정좌표	1.11401E+18	새주소	서울특별시 중구 후암로 110	서울특별시 중구 남대문로5가 581	4637	1114054000	회현동	1114011800	남대문로5가
72	올림픽플라자점	서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호  	02-402-3571	서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호  	127.1326752	37.5154244	정좌표	1.17101E+18	새주소	서울특별시 송파구 양재대로 1222	서울특별시 송파구 방이동 89-11	5648	1171056600	오륜동	1171011100	방이동
73	대학로마로니에점	" 서울시 종로구 대학로 12길 62 지하1층,지상1,2층   "	02-742-3318	"서울시 종로구 대학로 12길 62 지하1층,지상1,2층   "	127.003713	37.5814084	정좌표	1.11102E+18	새주소	서울특별시 종로구 대학로12길 62	서울특별시 종로구 동숭동 1-95	3086	1111064000	이화동	1111016800	동숭동
74	인사점	서울시 종로구 낙원동 272 오라카이스위츠 1층  	02-6262-8100	서울시 종로구 낙원동 272 오라카이스위츠 1층  	126.9873646	37.5730248	정좌표	1.11101E+18	구주소	서울특별시 종로구 인사동4길 18	서울특별시 종로구 낙원동 272	3163	1111061500	종로1.2.3.4가동	1111013700	낙원동
75	테헤란로비젼타워점	서울시 강남구 테헤란로 312 707-2번지1층  	02-558-7101	서울시 강남구 테헤란로 312 707-2번지1층  	127.0466934	37.5038681	도로중심좌표	11680	새주소	서울특별시 강남구 테헤란로  707-2	서울특별시 강남구	NULL				
76	서울대입구역점	" 서울시 관악구 관악로 161 층일부 2,3층   "	02-882-3101	"서울시 관악구 관악로 161 층일부 2,3층   "	126.9521974	37.4796134	정좌표	1.16201E+18	새주소	서울특별시 관악구 관악로 161	서울특별시 관악구 봉천동 863-13	8787	1162059500	청룡동	1162010100	봉천동
77	코엑스인터점	서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  	02-569-3103	서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  	127.0571899	37.5128096	정좌표	1.16801E+18	새주소	서울특별시 강남구 봉은사로 524	서울특별시 강남구 삼성동 159	6164	1168058000	삼성1동	1168010500	삼성동
78	뉴압구정점	서울시 강남구 논현로 167길 9 낙산프라자 1층  	02-545-3181	서울시 강남구 논현로 167길 9 낙산프라자 1층  	127.027437	37.5244262	정좌표	1.16801E+18	새주소	서울특별시 강남구 논현로167길 9	서울특별시 강남구 신사동 570-12	6031	1168051000	신사동	1168010700	신사동
79	디큐브시티점	서울시 구로구 경인로 662 디큐브시티 4층  	02-2210-9484	서울시 구로구 경인로 662 디큐브시티 4층  	126.8887823	37.508471	정좌표	1.15301E+18	새주소	서울특별시 구로구 경인로 662	서울특별시 구로구 신도림동 692	8209	1153051000	신도림동	1153010100	신도림동
80	현대자동차여의도점	서울시 영등포구 국제금융로 20 1층  	02-783-3391	서울시 영등포구 국제금융로 20 1층  	126.9273089	37.5248927	정좌표	1.15601E+18	새주소	서울특별시 영등포구 국제금융로 20	서울특별시 영등포구 여의도동 24-1	7327	1156054000	여의동	1156011000	여의도동
81	선릉로93길점	서울시 강남구 선릉로93길 6(역삼동) 1층  	02-552-3177	서울시 강남구 선릉로93길 6(역삼동) 1층  	127.047926	37.5056711	정좌표	1.16801E+18	새주소	서울특별시 강남구 선릉로93길 6	서울특별시 강남구 역삼동 696-42	6149	1168064000	역삼1동	1168010100	역삼동
82	강남역먹자골목점	서울시 강남구 테헤란로1길 29 1층일부 및 2.3층  	02-552-6311	서울시 강남구 테헤란로1길 29 1층일부 및 2.3층  	127.0273001	37.5001148	정좌표	1.16801E+18	새주소	서울특별시 강남구 테헤란로1길 29	서울특별시 강남구 역삼동 816-6	6129	1168064000	역삼1동	1168010100	역삼동
83	삼성로점	" 서울시 강남구 삼성로 551 1층,2층   "	02-552-9311 	"서울시 강남구 삼성로 551 1층,2층   "	127.0541289	37.5106677	정좌표	1.16801E+18	새주소	서울특별시 강남구 삼성로 551	서울특별시 강남구 삼성동 120-13	6155	1168059000	삼성2동	1168010500	삼성동
84	선릉로86길점	서울시 강남구 선릉로86길 11  	02-2051-8875	서울시 강남구 선릉로86길 11  	127.0505008	37.503304	정좌표	1.16801E+18	새주소	서울특별시 강남구 선릉로86길 11	서울특별시 강남구 대치동 889-74	6192	1168063000	대치4동	1168010600	대치동
85	안국역점	" 서울시 종로구 율곡로 47 1,2층   "	02-722-3356 	"서울시 종로구 율곡로 47 1,2층   "	126.9845684	37.5763617	정좌표	1.11101E+18	새주소	서울특별시 종로구 율곡로 47	서울특별시 종로구 안국동 163	3060	1111054000	삼청동	1111014100	안국동
86	뉴교보타워옆점	" 서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층   "	02-591-5177	"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층   "	127.0248845	37.5023655	정좌표	1.16501E+18	새주소	서울특별시 서초구 강남대로 449-3	서울특별시 서초구 서초동 1304	6611	1165053100	서초4동	1165010800	서초동
87	IFC MALL2호점	서울시 영등포구 국제금융로10 IFC Mall L2  	02-6137-5054  	서울시 영등포구 국제금융로10 IFC Mall L2  	126.9257192	37.5253017	정좌표	1.15601E+18	새주소	서울특별시 영등포구 국제금융로 10	서울특별시 영등포구 여의도동 23	7326	1156054000	여의동	1156011000	여의도동
